Day,Date,Weekday,Owner,Role,Task,Dependency,Deliverable,Status
1,13/7,Mon,Duc,Data + Train Branch 1 & 3,"Lock in the data contract (Branch 1 CSV schema, Branch 3 session schema) with the whole team; download raw D1 (SQLiV3); quick-test Branch 1 architectures: DistilBERT vs TF-IDF+GBM vs lightweight CNN on a small subset",None,data_contract.md; data/raw/d1_sqliv3_raw.csv; train/notebooks/model_comparison_branch1.ipynb,Overdue
1,13/7,Mon,Bach,Branch 2 (Anomaly) - independent,Download raw D3 (CSIC2010); quick-test feature-extraction options for Branch 2 (TF-IDF/embedding),None,data/raw/d3_csic2010_raw.csv,Done
1,13/7,Mon,Minh,Streamlit Web App - independent,"Build the Streamlit app scaffold (query test input page, mock results display)",None,app/streamlit_app.py,Not started
1,13/7,Mon,Diep,Support - Report,"Write Sections 1-2 of the report (Introduction, Related Work) from the existing survey file",None,report/section1_section2.md,Not started
2,14/7,Tue,Duc,Data + Train Branch 1 & 3,Fully clean D1; write the canonicalization pipeline; lock in the Branch 1 architecture,Day 1 - Duc,src/preprocessing/canonicalize.py; data/processed/branch1_train.csv,Done
2,14/7,Tue,Bach,Branch 2 (Anomaly) - independent,"Clean D3, build the normal-traffic baseline",Day 1 - Bach,data/processed/branch2_normal.csv,Done
2,14/7,Tue,Minh,Streamlit Web App - independent,"Monitoring dashboard page (query log, charts)",Day 1 - Minh,app/pages/dashboard.py,Not started
2,14/7,Tue,Diep,Support - Report,Write Section 3 (Methodology) per the just-locked-in architecture,Day 1 - Duc,report/section3.md,Not started
3,15/7,Wed,Duc,Data + Train Branch 1 & 3,Train the Branch 1 baseline,Day 2 - Duc,models/branch1_v1/,Done
3,15/7,Wed,Bach,Branch 2 (Anomaly) - independent,Extract features/embeddings for the normal set,Day 2 - Bach,src/models/branch2_embed.py,Not started
3,15/7,Wed,Minh,Streamlit Web App - independent,"Admin page - Overkill queue (approve/reject, mock data)",Day 2 - Minh,app/pages/admin_queue.py,Not started
3,15/7,Wed,Diep,Support - Report,"Track progress, prepare a results-table template",None,report/results_table_template.md,Not started
4,16/7,Thu,Duc,Data + Train Branch 1 & 3,Evaluate Branch 1 (P/R/F1); start setting up the Docker lab (DVWA/WebGoat) for Branch 3,Day 3 - Duc,reports/branch1_eval.json; docker/dvwa/docker-compose.yml,In progress
4,16/7,Thu,Bach,Branch 2 (Anomaly) - independent,Train OC-SVM/Isolation Forest (+PCA if needed),Day 3 - Bach,models/branch2_v1/,Not started
4,16/7,Thu,Minh,Streamlit Web App - independent,"Metrics page (P/R/F1, latency) - wired to the REAL API: GET /api/v1/metrics/branch1 (backend ready since Day 4, see deploy/README.md)",Day 4 - Duc (API backend),app/pages/metrics.py,Not started
4,16/7,Thu,Diep,Support - Report,Update the draft Section 6 (evaluation) with preliminary Branch 1 results,Day 4 - Duc,report/section6_draft.md,Not started
5,17/7,Fri,Duc,MLOps (reduced scope),"Basic central processing engine (3-branch decision logic, no complex Session Store needed yet) + continue the Branch 1+2 API",Day 4 - Duc; Day 4 - Bach,src/decision/central_processor.py,Not started
5,17/7,Fri,Bach,Train everything - Branch 3 starts,Branch 2 done; set up the Docker lab (DVWA/WebGoat) + install sqlmap/mitmproxy for Branch 3,Day 4 - Bach,docker/dvwa/docker-compose.yml,In progress
5,17/7,Fri,Minh,Streamlit Web App - independent,"Wire the REAL Branch 1 API + POST /api/v1/detect (verdict BLOCK/OVERKILL/ALLOW) - ready since Day 4; query test page drops the mock. Branch 2/3 return not_ready, render as placeholder",Day 4 - Duc (API backend),app/streamlit_app.py (updated),Not started
5,17/7,Fri,Diep,Support - Report + RIVF paper,START EARLY on writing Intro + Related Work for the RIVF 2026 paper (reuse the existing survey); in parallel with the course report,None,paper/rivf2026/intro_related_work.tex,Not started
6,18/7,Sat,Duc,MLOps (reduced scope),Finish the basic central processor + a simple Overkill queue (no complex TTL/eviction needed yet),Day 5 - Duc,src/decision/overkill_queue.py,Not started
6,18/7,Sat,Bach,Train everything,"Run sqlmap --technique=B and --technique=T through the proxy, collect real traffic for Branch 3",Day 5 - Bach,data/raw/branch3_sqlmap_sessions/,Not started
6,18/7,Sat,Minh,Streamlit Web App - independent,"Polish the UI, add the architecture-comparison chart (from the Day 1 notebook)",Day 5 - Minh,app/streamlit_app.py (updated),Not started
6,18/7,Sat,Diep,Support - Report + RIVF paper,Write the RIVF paper's Method section (the locked-in 3-branch architecture + decision logic),Day 5 - Diep,paper/rivf2026/method.tex,Not started
7,19/7,Sun,Duc,MLOps (reduced scope),"Finish the combined API (FastAPI) for Branch 1+2, test via the demo",Day 6 - Duc,deploy/main.py; deploy/routers/,In progress
7,19/7,Sun,Bach,Train everything,Parse traffic into sessions; generate a small adversarial set (WAF-A-MoLE) applied to Branch 1,Day 6 - Bach,src/preprocessing/parse_sessions.py; data/adversarial/,Not started
7,19/7,Sun,Minh,Streamlit Web App - independent,Buffer / progress review,None,None,Not started
7,19/7,Sun,Diep,Support - Report + RIVF paper,Continue Method + Related Work for the RIVF paper,Day 6 - Diep,paper/rivf2026/method.tex (updated),Not started
8,20/7,Mon,Duc,MLOps (actual),"[Past - recorded after the fact] Built the API scaffold (deploy/main.py, routers/ for 6+ endpoints: admin/data/demo/detect/health/metrics/monitor/branch1/branch2/branch3/train)",Day 7 - Duc,deploy/main.py; deploy/routers/*.py,Done
8,20/7,Mon,Bach,Train Branch 2,"[Past] Continued tuning Branch 2 (OCSVM vs Isolation Forest, feature scaling/log-transform)",Day 7 - Bach,src/models/branch2_anomaly.py; train/train_branch2.py,Done
8,20/7,Mon,Minh,Streamlit,[Past] Built more demo/admin pages,Day 7 - Minh,None,In progress
8,20/7,Mon,Diep,Support - Report,[Past] Paused the RIVF paper - prioritized the 25 Jul report deadline (see the Day 9 note),None,None,Not started
9,21/7,Tue,Duc,Metrics + demo notebook,"Done: added a full ROC curve for Branch 2 (train/train_branch2.py); wrote + tested train/notebooks/demo_detect.ipynb (loads both models, takes a query, returns a verdict) - 19/20 correct on a random sample",Day 8 - Duc,train/notebooks/demo_detect.ipynb; reports/branch2_eval.json (has roc_curve),Done
9,21/7,Tue,Bach,Branch 2 metrics,"Verify Branch 2's results (FPR=0.3%, detection rate=20.7%, AUC=0.90 OCSVM); assess whether they're convincing enough for the report, propose a different threshold if needed",Day 8 - Bach,reports/branch2_eval.json,In progress
9,21/7,Tue,Minh,Support for metrics/report,"System (API/Streamlit) postponed - temporarily helping with charts/visualizations for the report (ROC curve, confusion matrix)",Day 9 - Duc,None (awaiting confirmation),Not started
9,21/7,Tue,Diep,Report,Rewrote the outline for both report versions (Version 1: current 2-branch scope + notebook; Version 2: full 3-branch + complete system) - outline approved with Duc,Day 9 - Duc,De_xuat_SQLi_Detection_AI.md,Done
10,22/7,Wed,Duc,Report support,Help Diep with figures/data for Version 1; polish the demo notebook if needed,Day 9 - Duc,None,Not started
10,22/7,Wed,Bach,Report support,Provide detailed Branch 2 figures/explanations for Diep's report,Day 9 - Bach,None,Not started
10,22/7,Wed,Minh,Report support,"Draw charts/diagrams for the report (architecture, ROC curve, confusion matrix)",Day 9 - Minh,None,Not started
10,22/7,Wed,Diep,Report Version 1,"Write Version 1 (current scope): Problem statement, Related work, 2-branch architecture, Data, Methodology, Experimental results",Day 9 - Diep,report/ban1_scope_hien_tai.md,Not started
11,23/7,Thu,Duc,Report support,Help review technical figures in both report versions,Day 10 - Duc,None,Not started
11,23/7,Thu,Bach,Report support,Review the Branch 2 section in both report versions,Day 10 - Bach,None,Not started
11,23/7,Thu,Minh,Report support,Finish the remaining illustrations,Day 10 - Minh,None,Not started
11,23/7,Thu,Diep,Report Version 1 + Version 2,Finish Version 1 (Discussion/Limitations/Conclusion); start Version 2 (3-branch architecture + full system + Branch 3 design),Day 10 - Diep,report/ban1_scope_hien_tai.md (finished); report/ban2_hoan_chinh.md (started),Not started
12,24/7,Fri,Duc,Support,Help Bach verify the rerun results (the combined_coverage bug has been fixed in code); help Diep/Minh with figures for the midterm report,Day 11 - Duc,None,In progress
12,24/7,Fri,Bach,Train - fix the zero-day bug,"The combined_coverage bug in train/run_zeroday_experiment.py has been fixed (the B1 catch/miss condition was inverted). RERUN the script to: (1) regenerate the 5 missing model weights (branch1_no_*, branch2_zeroday), (2) produce the correct combined_coverage figures. Then push all 7 models (2 production + 5 zero-day) to HF (Jason-42195/VNU-SQLi-Detection-Models)",Day 11 - Bach,models/branch1_no_*/model.joblib; models/branch2_zeroday/model.joblib; report/metrics/zeroday_experiment/summary.json (updated),Not started
12,24/7,Fri,Minh,Midterm report,Help Diep write the midterm report (report/midterm/),Day 11 - Minh,report/midterm/AI-Based_SQLi_Detection_Midterm_Report.docx,In progress
12,24/7,Fri,Diep,Midterm report,"Write/finish the midterm report (report/midterm/) - HIGHEST PRIORITY, due 25 Jul",Day 11 - Diep,report/midterm/AI-Based_SQLi_Detection_Midterm_Report.docx,In progress
13,25/7,Sat,Duc,MILESTONE: Submit the midterm report,Midterm report deadline 25 Jul 23:59. Once done: start DESIGNING Branch 3 (GRU/small-Transformer class model over [B1 embedding + B2 score] per step) + design the Cách A session-dataset generation script,Day 12 - Duc,src/models/branch3_*.py (design),Not started
