Sprint,TaskID,Task,Owner,Role,Dependency,Deliverable,Status
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",1,"Lock in the data contract (Branch 1 CSV schema, Branch 3 session schema) with the whole team; download raw D1 (SQLiV3); quick-test Branch 1 architectures: DistilBERT vs TF-IDF+GBM vs lightweight CNN on a small subset",Duc,Data + Train Branch 1 & 3,None,data_contract.md; data/raw/d1_sqliv3_raw.csv; train/notebooks/model_comparison_branch1.ipynb,Overdue
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",2,Download raw D3 (CSIC2010); quick-test feature-extraction options for Branch 2 (TF-IDF/embedding),Bach,Branch 2 (Anomaly) - independent,None,data/raw/d3_csic2010_raw.csv,Done
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",3,"Build the Streamlit app scaffold (query test input page, mock results display)",Minh,Streamlit Web App - independent,None,app/streamlit_app.py,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",4,"Write Sections 1-2 of the report (Introduction, Related Work) from the existing survey file",Diep,Support - Report,None,report/section1_section2.md,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",5,Fully clean D1; write the canonicalization pipeline; lock in the Branch 1 architecture,Duc,Data + Train Branch 1 & 3,Task 1,src/preprocessing/canonicalize.py; data/processed/branch1_train.csv,Done
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",6,"Clean D3, build the normal-traffic baseline",Bach,Branch 2 (Anomaly) - independent,Task 2,data/processed/branch2_normal.csv,Done
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",7,"Monitoring dashboard page (query log, charts)",Minh,Streamlit Web App - independent,Task 3,app/pages/dashboard.py,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",8,Write Section 3 (Methodology) per the just-locked-in architecture,Diep,Support - Report,Task 1,report/section3.md,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",9,Train the Branch 1 baseline,Duc,Data + Train Branch 1 & 3,Task 5,models/branch1_v1/,Done
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",10,Extract features/embeddings for the normal set,Bach,Branch 2 (Anomaly) - independent,Task 6,src/models/branch2_embed.py,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",11,"Admin page - Overkill queue (approve/reject, mock data)",Minh,Streamlit Web App - independent,Task 7,app/pages/admin_queue.py,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",12,"Track progress, prepare a results-table template",Diep,Support - Report,None,report/results_table_template.md,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",13,Evaluate Branch 1 (P/R/F1); start setting up the Docker lab (DVWA/WebGoat) for Branch 3,Duc,Data + Train Branch 1 & 3,Task 9,reports/branch1_eval.json; docker/dvwa/docker-compose.yml,In progress
